epoch,train_loss,val_loss,val_acc,val_f1,elapsed_s
1,0.4271,0.1133,0.8290,0.5640,1386.6
2,0.1670,0.0738,0.8969,0.6484,1413.2
3,0.1171,0.0449,0.9311,0.7119,1503.0
4,0.0921,0.0368,0.9384,0.7340,1574.9
5,0.0787,0.0321,0.9495,0.7630,1590.0
6,0.0690,0.0309,0.9540,0.7781,1533.5
7,0.0605,0.0303,0.9553,0.7732,1484.8
8,0.0568,0.0236,0.9669,0.8148,1371.3
9,0.0515,0.0257,0.9654,0.8241,1356.0
10,0.0467,0.0248,0.9655,0.8176,1349.1
11,0.0431,0.0224,0.9710,0.8382,1415.2
12,0.0403,0.0232,0.9700,0.8381,1441.9
13,0.0389,0.0206,0.9740,0.8475,1475.5
14,0.0355,0.0237,0.9759,0.8580,1444.3
15,0.0332,0.0205,0.9800,0.8761,1382.3
16,0.0313,0.0192,0.9790,0.8744,1295.9
17,0.0291,0.0201,0.9808,0.8824,1298.3
18,0.0274,0.0191,0.9831,0.8842,1294.3
19,0.0262,0.0177,0.9826,0.8938,1296.2
20,0.0248,0.0183,0.9843,0.8992,1295.3
21,0.0231,0.0196,0.9821,0.8915,1300.3
22,0.0216,0.0180,0.9849,0.8980,1296.7
23,0.0216,0.0175,0.9842,0.8980,1295.3
24,0.0204,0.0185,0.9844,0.8973,1299.0
25,0.0201,0.0183,0.9860,0.9063,1296.3
26,0.0185,0.0188,0.9852,0.9045,1303.7
27,0.0181,0.0185,0.9857,0.9079,1298.4
28,0.0179,0.0183,0.9850,0.9014,1297.9
29,0.0180,0.0185,0.9850,0.9029,1297.9
30,0.0175,0.0189,0.9858,0.9049,1296.8
