lr,batch_size,d_model,n_layers,patch_size,dropout,weight_decay,n_params,val_loss,val_acc,val_f1,epochs,seconds
0.003,128,64,3,5,0.1,0.0,104516,0.07940943003647473,0.9755502833794649,0.8547075081132065,15,2608.3915247917175
0.003,64,48,2,5,0.1,0.0,40996,0.09286243684760612,0.9680374324502439,0.8271858948031799,15,1826.208705663681
0.0005,128,48,2,10,0.1,0.0001,40036,0.11897422870687617,0.9609199947278239,0.7996707586275416,15,770.4850723743439
0.0005,128,64,3,10,0.2,0.001,103236,0.15769800345417193,0.9490575985237907,0.7780899477069819,15,1172.498523235321
0.0005,128,48,2,25,0.1,0.0,40036,0.1382934421446227,0.9513641755634639,0.7648643804298675,10,231.36440420150757
0.0005,128,48,3,5,0.2,0.0001,59956,0.13536374242044616,0.9513641755634639,0.7602901893114412,15,2301.82045006752
0.0001,64,48,3,25,0.1,0.001,58996,0.15003280184747628,0.9453670752603137,0.749602021723941,15,709.1049513816833
0.0001,64,48,3,25,0.1,0.0,58996,0.14993145760662852,0.9453011730591802,0.7493829156766141,15,704.1021974086761
0.0005,128,48,3,25,0.2,0.0001,58996,0.17585226810935364,0.9388427573480954,0.7325042637672836,15,498.53626108169556
0.0001,64,48,3,10,0.1,0.0001,58996,0.19863331902780043,0.9286279161724001,0.7065653577634715,15,1168.3394203186035
0.0001,128,48,3,25,0.1,0.001,58996,0.19184252075901045,0.9289574271780677,0.7060099259216169,15,483.3874535560608
0.0001,128,48,3,5,0.2,0.001,59956,0.278021335923909,0.9122182680901542,0.673038885809288,15,2296.7047617435455
0.0001,128,64,3,25,0.2,0.0001,103236,0.27840063540544596,0.9089890602346118,0.6715738135178262,15,580.0286166667938
0.0001,128,48,2,25,0.2,0.001,40036,0.34616845813965913,0.894622380387505,0.6446068634711322,15,381.6974925994873
0.0001,128,64,2,10,0.1,0.0,69764,0.3729465147071603,0.8764992750757875,0.6180077609762377,8,498.1859953403473
