lr,batch_size,dropout,weight_decay,val_loss,val_acc,val_f1,epochs,seconds
0.01,128,0.2,0.001,0.05816076631707248,0.9835244497166206,0.9116541619276775,22,421.12330198287964
0.01,64,0.2,0.0001,0.06942414204063936,0.9809542638724134,0.8976467370308995,11,357.25235390663147
0.01,64,0.3,0.0001,0.0806544644214803,0.9785817846316067,0.8852568371630751,18,598.1028871536255
0.001,128,0.2,0.0,0.06960315149337842,0.9792408066429419,0.8680616984410993,18,340.43631386756897
0.0001,64,0.2,0.001,0.0979296156273119,0.9710030315012521,0.8679430075874056,18,589.327689409256
0.01,64,0.5,0.0001,0.10741162193953574,0.9762093053908001,0.8667525877549106,22,719.361848115921
0.0001,64,0.2,0.0001,0.09738478295532543,0.9713984447080533,0.865325201351304,18,587.4587349891663
0.001,128,0.5,0.0001,0.11319630443303501,0.9695531830763148,0.8409322922952543,19,367.4220631122589
0.0001,64,0.3,0.001,0.12879913924496383,0.9584816132858838,0.8218399465823627,18,584.8091552257538
0.0001,64,0.5,0.001,0.12831733034143214,0.9640173981810992,0.816172279225111,25,819.9714078903198
0.0001,64,0.5,0.0001,0.1243362617929969,0.9638196915776986,0.8132789186570145,25,814.1912128925323
0.0001,64,0.5,0.0,0.1243362617929969,0.9638196915776986,0.8132789186570145,25,821.4904308319092
0.0001,128,0.5,0.001,0.17891334132571865,0.9565704494530117,0.7983619490195064,22,428.709676027298
0.0001,128,0.3,0.001,0.1470468302110179,0.9549887966258073,0.7946465673368028,22,425.33024406433105
0.0001,128,0.5,0.0,0.182280088715816,0.9545933834190062,0.7859087486920118,22,429.17044377326965
